REF_DATE,GEO,DGUID,Marital status,Sex,Age group,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2017,Newfoundland and Labrador,2016A000210,Total marital status,Both sexes,All ages,Persons,249,units,0,v52158786,2.1.1.1,528249,,,,0
2018,Newfoundland and Labrador,2016A000210,Total marital status,Both sexes,All ages,Persons,249,units,0,v52158786,2.1.1.1,525560,,,,0
2019,Newfoundland and Labrador,2016A000210,Total marital status,Both sexes,All ages,Persons,249,units,0,v52158786,2.1.1.1,523476,,,,0
2017,Prince Edward Island,2016A000211,Total marital status,Both sexes,All ages,Persons,249,units,0,v52163076,3.1.1.1,150402,,,,0
2018,Prince Edward Island,2016A000211,Total marital status,Both sexes,All ages,Persons,249,units,0,v52163076,3.1.1.1,153396,,,,0
2019,Prince Edward Island,2016A000211,Total marital status,Both sexes,All ages,Persons,249,units,0,v52163076,3.1.1.1,157262,,,,0
2017,Nova Scotia,2016A000212,Total marital status,Both sexes,All ages,Persons,249,units,0,v52167366,4.1.1.1,950108,,,,0
2018,Nova Scotia,2016A000212,Total marital status,Both sexes,All ages,Persons,249,units,0,v52167366,4.1.1.1,958406,,,,0
2019,Nova Scotia,2016A000212,Total marital status,Both sexes,All ages,Persons,249,units,0,v52167366,4.1.1.1,969747,,,,0
2017,New Brunswick,2016A000213,Total marital status,Both sexes,All ages,Persons,249,units,0,v52171656,5.1.1.1,766621,,,,0
2018,New Brunswick,2016A000213,Total marital status,Both sexes,All ages,Persons,249,units,0,v52171656,5.1.1.1,770301,,,,0
2019,New Brunswick,2016A000213,Total marital status,Both sexes,All ages,Persons,249,units,0,v52171656,5.1.1.1,776868,,,,0
2017,Quebec,2016A000224,Total marital status,Both sexes,All ages,Persons,249,units,0,v52175946,6.1.1.1,8302063,,,,0
2018,Quebec,2016A000224,Total marital status,Both sexes,All ages,Persons,249,units,0,v52175946,6.1.1.1,8401738,,,,0
2019,Quebec,2016A000224,Total marital status,Both sexes,All ages,Persons,249,units,0,v52175946,6.1.1.1,8501703,,,,0
2017,Ontario,2016A000235,Total marital status,Both sexes,All ages,Persons,249,units,0,v52180236,7.1.1.1,14070141,,,,0
2018,Ontario,2016A000235,Total marital status,Both sexes,All ages,Persons,249,units,0,v52180236,7.1.1.1,14308697,,,,0
2019,Ontario,2016A000235,Total marital status,Both sexes,All ages,Persons,249,units,0,v52180236,7.1.1.1,14544718,,,,0
2017,Manitoba,2016A000246,Total marital status,Both sexes,All ages,Persons,249,units,0,v52184526,8.1.1.1,1334790,,,,0
2018,Manitoba,2016A000246,Total marital status,Both sexes,All ages,Persons,249,units,0,v52184526,8.1.1.1,1352825,,,,0
2019,Manitoba,2016A000246,Total marital status,Both sexes,All ages,Persons,249,units,0,v52184526,8.1.1.1,1369540,,,,0
2017,Saskatchewan,2016A000247,Total marital status,Both sexes,All ages,Persons,249,units,0,v52188816,9.1.1.1,1150331,,,,0
2018,Saskatchewan,2016A000247,Total marital status,Both sexes,All ages,Persons,249,units,0,v52188816,9.1.1.1,1161767,,,,0
2019,Saskatchewan,2016A000247,Total marital status,Both sexes,All ages,Persons,249,units,0,v52188816,9.1.1.1,1172302,,,,0
2017,Alberta,2016A000248,Total marital status,Both sexes,All ages,Persons,249,units,0,v52193106,10.1.1.1,4241100,,,,0
2018,Alberta,2016A000248,Total marital status,Both sexes,All ages,Persons,249,units,0,v52193106,10.1.1.1,4298275,,,,0
2019,Alberta,2016A000248,Total marital status,Both sexes,All ages,Persons,249,units,0,v52193106,10.1.1.1,4361694,,,,0
2017,British Columbia,2016A000259,Total marital status,Both sexes,All ages,Persons,249,units,0,v52197396,11.1.1.1,4929384,,,,0
2018,British Columbia,2016A000259,Total marital status,Both sexes,All ages,Persons,249,units,0,v52197396,11.1.1.1,5010476,,,,0
2019,British Columbia,2016A000259,Total marital status,Both sexes,All ages,Persons,249,units,0,v52197396,11.1.1.1,5090955,,,,0
2017,Yukon,2016A000260,Total marital status,Both sexes,All ages,Persons,249,units,0,v52201686,12.1.1.1,39669,,,,0
2018,Yukon,2016A000260,Total marital status,Both sexes,All ages,Persons,249,units,0,v52201686,12.1.1.1,40613,,,,0
2019,Yukon,2016A000260,Total marital status,Both sexes,All ages,Persons,249,units,0,v52201686,12.1.1.1,41477,,,,0
2017,Northwest Territories,2016A000261,Total marital status,Both sexes,All ages,Persons,249,units,0,v52210266,14.1.1.1,44891,,,,0
2018,Northwest Territories,2016A000261,Total marital status,Both sexes,All ages,Persons,249,units,0,v52210266,14.1.1.1,44981,,,,0
2019,Northwest Territories,2016A000261,Total marital status,Both sexes,All ages,Persons,249,units,0,v52210266,14.1.1.1,45028,,,,0
2017,Nunavut,2016A000262,Total marital status,Both sexes,All ages,Persons,249,units,0,v52214556,15.1.1.1,37546,,,,0
2018,Nunavut,2016A000262,Total marital status,Both sexes,All ages,Persons,249,units,0,v52214556,15.1.1.1,38143,,,,0
2019,Nunavut,2016A000262,Total marital status,Both sexes,All ages,Persons,249,units,0,v52214556,15.1.1.1,38614,,,,0
